Vehicle type you use? ,Location ,Which platform do you Primarily drive for? ,"Do you prefer any other platforms, If yes, then which?","Do you prefer any other platforms, If yes, then which?2",Age of driver?,Are you a full-time or part-time driver?,Main reason for preferring platform ?,Driving experience on ride-hailing platforms? ,Average Daily Earnings?,Which platform provides you the highest number of rides? ,How often do you get back-to-back rides on each app?   [Ola],How often do you get back-to-back rides on each app?   [Uber],How often do you get back-to-back rides on each app?   [Rapido],How many rides do you complete daily on average? ,Average working hours per day? ,Please rate the ride demand during the following non‑office hours. [Atfernoon (12 PM - 5 PM)],Please rate the ride demand during the following non‑office hours. [Night (9 PM - 12 AM)],Please rate the ride demand during the following non‑office hours. [Late Night (12 AM - 7 AM)],"Is there any difference for average rides in weekdays and weekends,if yes which days have more rides?","Does riding distance affects your income per ride, if yes, then which type of rides do you prefer?",Biggest challenge you face as a driver  ,Which app‑related issues do you face most often?,Which improvement would most increase your satisfaction as a driver? ,Please rate your satisfaction level for each app   [Uber],Please rate your satisfaction level for each app   [Ola],Please rate your satisfaction level for each app   [Rapido]
Car,Airport,Ola,Rapido,,29,Full Time,More rides,1 to 3 years,2500,Ola,4,2,2,15,More than 10 hours,2,1,1,"Saturday, Sunday",Shorter,Customer behavior,Delayed ride requests,Higher fares (meter-wise),1,3,1
Car,Airport,Ola,Ola,Uber,35,Full Time,More rides,1 to 3 years,1600,Ola,4,4,3,15,More than 10 hours,1,2,4,"Monday, Thursday",Shorter,Low earnings,App crashes or slow performance;GPS/location issues;Delayed ride requests;Poor customer support response,Higher fares (meter-wise),1,4,1
Car,Airport,Ola,Uber,,22,Full Time,Lower commission charges,More than 3 years,2200,Ola,3,,,8,More than 10 hours,1,1,2,"Tuesday, Saturday, Sunday",Shorter,Long waiting times,No issues,Higher fares (meter-wise),1,4,1
Car,Airport,Ola,Rapido,Ola,25,Full Time,More rides,More than 3 years,2000,Ola,4,2,2,7,More than 10 hours,1,3,3,"Monday, Tuesday, Friday, Saturday, Sunday",Shorter,Low earnings,No issues,Higher fares (meter-wise);Reduced commission,1,4,1
Car,Airport,Uber,Ola,,32,Full Time,More rides,More than 3 years,3000,Uber,,4,,1,More than 10 hours,,,,"Thursday, Saturday",Not much difference,Low earnings,No issues,More rides,4,4,1
Car,Airport,Ola,Ola,,35,Full Time,More rides,More than 3 years,3500,Ola,4,2,2,9,More than 10 hours,2,2,2,"Thursday, Saturday, Sunday",Longer,Low earnings,GPS/location issues,Higher fares (meter-wise),1,4,1
Car,Airport,Uber,,,28,Full Time,More rides,More than 3 years,2450,Uber,,4,,7,More than 10 hours,1,3,2,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise),4,1,1
Car,Airport,Ola,Rapido,,46,Full Time,More rides,More than 5 years,2456,Ola,4,,,15,More than 10 hours,2,,,"Saturday, Sunday",Shorter,Low earnings,No issues,Higher fares (meter-wise),1,4,1
Car,Airport,Ola,,,30,Full Time,More rides,More than 5 years,3000,Ola,3,,,10,More than 10 hours,2,2,1,"Saturday, Sunday",Shorter,Long waiting times,No issues,Higher fares (meter-wise),1,4,1
Car,Airport,Ola,,,30,Full Time,More rides,3 to 5 years,3200,Ola,3,,,8,More than 10 hours,3,,,"Saturday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise),1,4,1
Car,Airport,Ola,,,24,Full Time,More rides,1 to 3 years,2900,Ola,3,,,8,More than 10 hours,2,,,"Saturday, Sunday",Shorter,Long waiting times,No issues,Higher fares (meter-wise),1,4,1
Car,Airport,Rapido,Uber,Ola,24,Full Time,Lower commission charges;More rides,1 to 3 years,2800,Rapido,3,,4,7,8 to 10 hours,,,2,"Saturday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise),1,4,4
Car,Airport,Rapido,,,25,Full Time,Lower commission charges;More rides,1 to 3 years,2800,Rapido,3,,4,12,More than 10 hours,1,2,,"Saturday, Sunday",Longer,Long waiting times,No issues,Higher fares (meter-wise),4,2,1
Car,Airport,Ola,Uber,,42,Part Time,More rides,More than 5 years,1600,Ola,,4,,8,8 to 10 hours,,,3,Sunday,Longer,Low earnings,No issues,Higher fares (meter-wise),2,2,2
Car,Airport,Uber,,,25,Full Time,More rides,More than 5 years,2800,Uber,,,,10,8 to 10 hours,2,,1,"Saturday, Sunday",Shorter,Low earnings,GPS/location issues,Higher fares (meter-wise),4,3,1
Car,Airport,Uber,,,35,Full Time,More rides,More than 5 years,2700,Uber,,4,,10,8 to 10 hours,2,,,"Monday, Friday, Saturday, Sunday",Not much difference,Low earnings,No issues,Higher fares (meter-wise),4,1,1
Auto-rickshaw,Malls,Uber,Ola,,34,Part Time,More rides,1 to 3 years,700,Ola,2,2,,15,Less than 6 hours,,,,Sunday,Shorter,Long waiting times,No issues,Reduced commission,4,4,1
Auto-rickshaw,Malls,Uber,Rapido,Ola,29,Full Time,Lower commission charges;More rides,1 to 3 years,1500,Uber,3,,,20,More than 10 hours,2,3,,"Monday, Friday, Saturday, Sunday",Not much difference,Long waiting times,No issues,Reduced commission;More rides,4,1,4
Car,Malls,Uber,Rapido,Ola,25,Full Time,Lower commission charges,1 to 3 years,2600,Uber,,4,,15,More than 10 hours,2,1,,"Monday, Friday",Longer,Long waiting times,No issues,Higher fares (meter-wise),4,1,3
Car,Malls,Rapido,Ola,Uber,39,Part Time,Lower commission charges,1 to 3 years,2300,Rapido,,,3,4,Less than 6 hours,,2,3,"Saturday, Sunday",Shorter,Long waiting times,No issues;GPS/location issues;Poor customer support response,Higher fares (meter-wise);Better customer support,2,3,3
Auto-rickshaw,Malls,Ola,Rapido,Uber,38,Full Time,More rides,1 to 3 years,1550,Uber,4,,,20,More than 10 hours,2,3,,"Saturday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise),4,1,3
Auto-rickshaw,Malls,Ola,Uber,,26,Full Time,Lower commission charges,1 to 3 years,2400,Ola,4,3,,9,More than 10 hours,1,2,,"Saturday, Sunday",Longer,Long waiting times,App crashes or slow performance;GPS/location issues,Higher fares (meter-wise);More rides,1,4,1
Car,Malls,Uber,,,38,Full Time,More rides,More than 5 years,1200,Uber,,3,,10,More than 10 hours,2,,,Saturday,Shorter,Customer behavior,No issues,Higher fares (meter-wise);Reduced commission,4,1,1
Auto-rickshaw,Malls,Rapido,Ola,Uber,40,Full Time,Lower commission charges,3 to 5 years,2300,Rapido,3,3,4,17,More than 10 hours,2,,,"Saturday, Sunday",Not much difference,Low earnings,No issues,Higher fares (meter-wise),1,1,4
Auto-rickshaw,Malls,Uber,Ola,,38,Full Time,More rides,3 to 5 years,1200,Uber,2,2,,15,More than 10 hours,1,,,"Saturday, Sunday",Not much difference,Low earnings;Long waiting times,No issues,Higher fares (meter-wise),4,2,2
Auto-rickshaw,Malls,Ola,Rapido,Uber,33,Full Time,More rides,1 to 3 years,2100,Uber,2,3,2,15,More than 10 hours,2,,,"Friday, Saturday, Sunday",Shorter,Low earnings;Long waiting times,App crashes or slow performance;GPS/location issues,Higher fares (meter-wise);More rides,4,3,2
Auto-rickshaw,Malls,Uber,Rapido,,32,Full Time,More rides,1 to 3 years,1300,Uber,,3,,13,8 to 10 hours,1,,,"Saturday, Sunday",Longer,Low earnings,No issues,Higher fares (meter-wise),4,1,1
Auto-rickshaw,Malls,Ola,Uber,,31,Part Time,Lower commission charges,1 to 3 years,1800,Uber,2,2,,10,Less than 6 hours,,1,,"Monday, Tuesday, Wednesday, Thursday, Friday",Not much difference,Long waiting times,App crashes or slow performance,Higher fares (meter-wise),4,3,1
Car,Malls,Uber,Rapido,Ola,21,Full Time,Lower commission charges;More rides,1 to 3 years,2100,Uber,,3,,15,More than 10 hours,1,3,,Monday,Not much difference,Long waiting times,No issues,Higher fares (meter-wise),4,3,2
Auto-rickshaw,Malls,Ola,,,32,Full Time,More rides,More than 5 years,1400,Ola,2,,,15,More than 10 hours,1,,,"Saturday, Sunday",Longer,Long waiting times;Customer behavior,GPS/location issues,Higher fares (meter-wise);Reduced commission,3,4,2
Auto-rickshaw,Malls,Ola,Rapido,Uber,30,Full Time,Lower commission charges,More than 5 years,1600,Uber,,4,,10,More than 10 hours,1,,,"Monday, Tuesday, Wednesday, Thursday, Friday",Not much difference,Low earnings;Long waiting times,No issues,Higher fares (meter-wise),2,1,3
Auto-rickshaw,Malls,Uber,Rapido,,34,Full Time,More rides,3 to 5 years,800,Uber,,3,,13,8 to 10 hours,2,,,Sunday,Not much difference,Low earnings,No issues,Higher fares (meter-wise),3,,
Auto-rickshaw,Malls,Uber,Ola,,42,Part Time,More rides,3 to 5 years,900,Uber,4,4,,10,8 to 10 hours,1,,,"Saturday, Sunday",Not much difference,Low earnings;Long waiting times,App crashes or slow performance,Higher fares (meter-wise),3,1,1
Auto-rickshaw,Malls,Rapido,Uber,,37,Part Time,Lower commission charges,1 to 3 years,1400,Ola,4,,,8,6 to 8 hours,1,,,"Saturday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise),3,3,4
Auto-rickshaw,Malls,Rapido,Ola,Uber,47,Full Time,Lower commission charges;More rides,1 to 3 years,1600,Rapido,3,3,3,15,More than 10 hours,1,,,Saturday,Longer,Long waiting times,No issues;GPS/location issues,Higher fares (meter-wise),3,3,3
Auto-rickshaw,Malls,Uber,Ola,,51,Full Time,More rides,More than 5 years,2300,Uber,4,4,,25,More than 10 hours,1,,,"Saturday, Sunday",Longer,Long waiting times,No issues,Higher fares (meter-wise),4,4,3
Auto-rickshaw,Malls,Ola,Uber,,30,Full Time,More rides,More than 5 years,1400,Ola,4,,,10,8 to 10 hours,1,,,"Monday, Tuesday, Wednesday, Thursday, Friday",Longer,Low earnings,No issues,Higher fares (meter-wise),2,1,2
Auto-rickshaw,Malls,Uber,Rapido,Ola,27,Full Time,More rides,1 to 3 years,800,Uber,2,2,2,8,More than 10 hours,1,,,Saturday,Not much difference,Low earnings;Long waiting times,GPS/location issues,Higher fares (meter-wise),2,1,3
Auto-rickshaw,Malls,Uber,Rapido,Ola,23,Full Time,More rides,1 to 3 years,1300,Ola,2,3,2,15,More than 10 hours,1,,,Monday,Not much difference,Long waiting times,GPS/location issues,Higher fares (meter-wise),3,2,3
Auto-rickshaw,Malls,Uber,Rapido,Ola,27,Part Time,More rides,1 to 3 years,1400,Uber,3,4,3,6,Less than 6 hours,,2,,"Saturday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise),3,1,4
Auto-rickshaw,Malls,Uber,,,37,Full Time,More rides,More than 5 years,1200,Uber,,3,,15,More than 10 hours,2,,,Sunday,Not much difference,Long waiting times;Customer behavior,GPS/location issues,Higher fares (meter-wise),2,1,1
Auto-rickshaw,Malls,Uber,Rapido,,31,Part Time,More rides,1 to 3 years,2200,Uber,2,2,2,19,8 to 10 hours,1,2,,"Friday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise),3,1,2
Car,Malls,Uber,Rapido,Ola,32,Part Time,More rides,1 to 3 years,2900,Uber,1,1,1,12,More than 10 hours,2,2,,"Saturday, Sunday",Not much difference,Long waiting times,App crashes or slow performance;GPS/location issues,Higher fares (meter-wise),2,2,1
Auto-rickshaw,Malls,Ola,Uber,,42,Full Time,More rides,More than 5 years,1600,Ola,3,,,10,8 to 10 hours,1,,,"Saturday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise),2,2,
Auto-rickshaw,Malls,Rapido,Ola,Uber,22,Full Time,Lower commission charges;More rides,1 to 3 years,2100,Rapido,2,3,3,11,More than 10 hours,1,3,,Sunday,Longer,Long waiting times,No issues,Higher fares (meter-wise),4,4,4
Auto-rickshaw,Malls,Uber,Rapido,,40,Part Time,More rides,1 to 3 years,700,Rapido,,3,,10,Less than 6 hours,2,,,Sunday,Shorter,Long waiting times,GPS/location issues,Higher fares (meter-wise),4,3,4
Auto-rickshaw,Malls,Uber,Rapido,Ola,29,Full Time,More rides,More than 5 years,1700,Uber,3,4,2,13,8 to 10 hours,1,,,Monday,Shorter,Low earnings,GPS/location issues,Higher fares (meter-wise),3,2,3
Auto-rickshaw,Malls,Ola,Uber,,37,Full Time,More rides,1 to 3 years,800,Uber,,4,,15,More than 10 hours,1,2,,"Monday, Tuesday, Saturday, Sunday",Not much difference,Customer behavior,App crashes or slow performance;GPS/location issues,Higher fares (meter-wise),4,2,1
Auto-rickshaw,Malls,Uber,Rapido,,28,Full Time,Lower commission charges;More rides,1 to 3 years,900,Rapido,3,,3,7,More than 10 hours,,,,"Saturday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise),3,2,3
Auto-rickshaw,Malls,Uber,Ola,,43,Part Time,More rides,More than 5 years,1400,Ola,3,2,,12,8 to 10 hours,2,3,,"Saturday, Sunday",Not much difference,Low earnings;Long waiting times,No issues,Higher fares (meter-wise),4,4,1
Auto-rickshaw,Random,Uber,Rapido,,26,Full Time,Lower commission charges;More rides,3 to 5 years,2400,Uber,,4,3,16,More than 10 hours,2,,2,"Saturday, Sunday",Longer,Low earnings;Long waiting times,GPS/location issues,Higher fares (meter-wise),3,1,2
Auto-rickshaw,Railway stations,Uber,Ola,,33,Full Time,More rides,1 to 3 years,2100,Uber,3,4,3,15,8 to 10 hours,2,2,2,"Saturday, Sunday",Longer,Customer behavior,App crashes or slow performance,Higher fares (meter-wise),3,2,2
Car,Railway stations,Uber,,,34,Full Time,More rides,3 to 5 years,2800,Uber,3,4,,20,More than 10 hours,,3,,"Saturday, Sunday",Not much difference,Low earnings,GPS/location issues,Higher fares (meter-wise);Better incentives,3,,
Auto-rickshaw,Railway stations,Rapido,Uber,,41,Full Time,Lower commission charges,More than 5 years,1800,Rapido,3,3,4,11,8 to 10 hours,3,2,1,"Monday, Sunday",Not much difference,Long waiting times,No issues,Better incentives;Better customer support,3,2,3
Car,Railway stations,Ola,Uber,,31,Part Time,Lower commission charges,1 to 3 years,1900,Ola,4,3,3,10,6 to 8 hours,2,3,2,"Monday, Tuesday",Shorter,Long waiting times,No issues,Better incentives;More rides,3,4,2
Car,Railway stations,Uber,,,32,Full Time,More rides,3 to 5 years,2000,Uber,3,4,3,13,8 to 10 hours,2,3,2,"Monday, Tuesday",Longer,Long waiting times;Platform penalties,No issues,Higher fares (meter-wise);Reduced commission,4,2,2
Car,Railway stations,Ola,Uber,,29,Full Time,More rides,1 to 3 years,2700,Uber,,,,11,8 to 10 hours,1,3,2,"Saturday, Sunday",Not much difference,Long waiting times,App crashes or slow performance;GPS/location issues,Higher fares (meter-wise),3,4,2
Auto-rickshaw,Airport,Uber,Rapido,,34,Full Time,More rides,3 to 5 years,2200,Ola,1,1,2,15,8 to 10 hours,2,4,3,"Monday, Tuesday, Wednesday, Thursday, Friday",Shorter,Low earnings,No issues,Higher fares (meter-wise),4,2,2
